angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,_RAJ2000,_DEJ2000,Name,f_Name,RAJ2000,DEJ2000,SpT,T*,R*,Td1,Rd1,Tdt2,Rd2,Tau,Dist,f_Dist,IRS?,TYC,WISEA,Simbad
0.051295,J023050.76+553253.3,37.7115045,+55.5481529,0.0411,0.0403,4.2,5.582,5.266,4.143,3.292,6.087,5.961,5.835,0.143,0.054,0.015,0.024,0.026,0.029,0.021,373156001351002371,hh00,0,0410,BAAA,119,45,196,43,1.396,37.7115,55.5481389,HD 15407,,02 30 50.76,+55 32 53.3,F5V,6380,1.61,525,0.5,,,85.08,54.7,,Y,TYC,WISEA,Simbad
0.025578,J023255.85+372000.6,38.2327166,+37.3335027,0.0346,0.0324,35.8,6.544,6.520,6.503,4.236,6.696,6.608,6.547,0.084,0.025,0.017,0.028,0.018,0.018,0.017,378137801351002625,0000,0,0000,AAAA,-1,31,-14,30,0.637,38.2327083,37.3335,HD 15745,b,02 32 55.85,+37 20 00.6,:F2,6730,1.31,120,9.5,65,32.68,40.24,63.49,,Y,TYC,WISEA,Simbad
0.033783,J023907.65-525604.7,39.7818789,-52.9346480,0.0392,0.0379,93.3,5.955,5.799,5.904,5.406,6.114,5.971,5.915,0.134,0.051,0.014,0.031,0.024,0.024,0.026,394053101351029066,0000,0,4100,BAAA,-18,34,545,34,1.003,39.781875,-52.9346389,HD 16743,,02 39 07.65,-52 56 04.7,F1III/IV,6850,1.6,200,4.3,50,70.18,7.17,58.85,,Y,TYC,WISEA,Simbad
0.053527,J024041.12+270339.1,40.1713479,+27.0608684,0.0470,0.0443,112.1,5.058,4.893,5.091,4.854,5.110,5.119,5.073,0.231,0.122,0.014,0.034,0.018,0.027,0.023,405127201351015409,hh00,0,0011,BBAA,-40,35,245,36,0.776,40.1713333,27.0608611,33 Ari,,02 40 41.12,+27 03 39.1,A2/3V,8450,2.56,95,47.1,,,0.17,70.97,,Y,TYC,WISEA,Simbad
0.041910,J024645.15-213822.0,41.6881281,-21.6394557,0.0391,0.0372,49.7,5.554,5.357,5.585,5.457,5.759,5.629,5.567,0.161,0.053,0.015,0.035,0.021,0.017,0.018,419021301351016232,0000,0,1400,BAAA,-217,30,-2,29,0.626,41.688125,-21.6394444,HR 826,,02 46 45.15,-21 38 22.0,F3IV/V,6760,1.55,50,66.1,,,2.35,48.03,,Y,TYC,WISEA,Simbad
0.049314,J024901.63-624823.2,42.2568175,-62.8064560,0.0467,0.0452,125.6,4.963,4.748,5.012,4.781,5.143,5.156,4.971,0.218,0.078,0.015,0.028,0.037,0.076,0.021,410062101351000001,0000,0,0211,BAAA,21,37,-218,38,0.847,42.2568333,-62.8064444,HD 17848,,02 49 01.64,-62 48 23.2,A2V,8420,1.85,220,6.3,55,100.99,0.96,50.45,,Y,TYC,WISEA,Simbad
0.027715,J024959.11+271536.9,42.4963247,+27.2602505,0.0535,0.0494,100.1,3.888,3.634,3.879,3.553,3.657,3.803,3.864,0.285,0.174,0.016,0.024,0.294,0.238,0.036,422127201351027464,hh00,1,1100,BBAA,1875,64,907,68,1.751,42.4963333,27.26025,41 Ari,,02 49 59.12,+27 15 36.9,B8V,11840,2.73,265,12.6,,,0.24,50.78,,Y,TYC,WISEA,Simbad
0.032696,J025232.39-124612.9,43.1349669,-12.7702536,0.0486,0.0463,72.7,3.977,3.746,3.994,3.890,,,,0.377,0.192,0.014,0.022,,,,432012201351005323,HHH0,0,nnn0,CBAA,445,34,64,36,,43.1349583,-12.77025,HR 857,,02 52 32.39,-12 46 12.9,K1V,5510,0.7,350,0.4,45,24.57,4.6,10.35,,N,TYC,WISEA,Simbad
0.182507,J030651.95+303136.8,46.7164721,+30.5269059,0.0372,0.0363,153.2,6.359,6.192,5.630,4.259,6.470,6.374,6.296,0.072,0.025,0.016,0.029,0.020,0.021,0.027,469130201351037757,hhd0,0,3300,AAAA,-361,40,232,39,0.861,46.7164167,30.5268889,HD 19257,,03 06 51.94,+30 31 36.8,:A8,7110,1.76,235,3.7,,,9.59,79.17,,N,TYC,WISEA,Simbad
0.106400,J030942.34-093447.6,47.4264433,-9.5799145,0.0331,0.0307,24.6,6.661,6.657,6.666,6.458,7.156,6.794,6.701,0.065,0.022,0.016,0.047,0.029,0.040,0.026,474009101351004923,0000,0,3110,AAAA,74,25,-48,24,1.738,47.4264583,-9.5798889,IS Eri,,03 09 42.35,-09 34 47.6,G0V,5590,0.75,180,1.7,,,1.13,37.41,,Y,TYC,WISEA,Simbad
