angDist,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,_RAJ2000,_DEJ2000
3.793927,J025451.34+434256.6,43.7139395,+43.7157307,0.0770,0.0743,120.6,14.661,14.833,12.118,8.653,15.131,14.841,14.648,0.032,0.065,,,0.040,0.065,0.078,436143901351018380,0000,0,00nn,AAUU,281,184,-70,189,0.245,43.715036227943,3.2399319461994
2.046139,J030147.11+452645.2,45.4463224,+45.4459063,0.6473,0.5656,116.9,17.606,16.999,12.045,9.015,,,,0.197,,,,,,,447145401351025169,0000,0,nnnn,BUUU,-708,2708,479,2918,,45.4464656966444,2.7934635672454
2.287369,J030256.45+454410.2,45.7352439,+45.7361836,0.3838,0.3498,130.2,17.018,17.222,12.644,8.853,,,,0.119,0.476,,,,,,447145401351046553,0000,0,nnnn,BCUU,-827,1476,-31,1504,,45.7355983362499,3.0226794790353
2.244599,J030256.45+454410.2,45.7352439,+45.7361836,0.3838,0.3498,130.2,17.018,17.222,12.644,8.853,,,,0.119,0.476,,,,,,447145401351046553,0000,0,nnnn,BCUU,-827,1476,-31,1504,,45.7361344514525,3.0762608597003
2.179760,J030407.50+460149.5,46.0312880,+46.0304198,0.0641,0.0620,144.4,14.233,14.182,12.589,9.070,15.452,14.855,14.679,0.028,0.045,,,0.055,0.075,0.087,468145401351058581,0000,0,00nn,AAUU,41,132,-72,134,0.658,46.0304159309177,3.3957089846249
3.314196,J030127.42+452152.2,45.3642606,+45.3645155,0.3544,0.3167,119.3,16.906,16.946,12.287,9.053,,,,0.111,0.396,,,,,,447145401351027637,0000,0,nnnn,BCUU,541,1293,832,1360,,45.3636875641717,3.4137951860334
3.702343,J030143.34+452556.5,45.4306011,+45.4323888,0.0441,0.0424,10.9,12.318,12.328,12.503,8.670,12.616,12.448,12.328,0.025,0.024,0.523,,0.022,0.022,0.019,447145401351023567,0000,0,00nn,AACU,0,55,0,56,0.042,45.4318451172928,3.4945255888753
1.960202,J030034.46+450834.1,45.1436086,+45.1428062,0.0354,0.0336,22.1,8.318,8.420,8.315,8.586,9.268,8.589,8.389,0.022,0.021,0.024,0.359,0.021,0.018,0.014,447145401351018543,0000,0,110n,AAAC,22,38,-17,36,0.042,45.143307579951,3.5538704236943
0.969553,J030131.69+452254.5,45.3820578,+45.3818078,0.0651,0.0632,106.3,14.270,14.312,12.604,9.108,15.210,14.430,14.202,0.105,0.048,,,0.048,0.040,0.054,447145401351026390,0000,0,00nn,AAUU,-16,135,109,144,0.188,45.3820767931771,3.6568134458997
4.658363,J025744.53+442603.2,44.4355457,+44.4342379,0.5052,0.4571,125.4,17.404,16.692,12.190,9.113,,,,0.155,,,,,,,436143901351052258,0000,0,nnnn,BUUU,-3430,2005,1822,2097,,44.4355318493766,3.2110611762053
1.236755,J025550.00+435728.0,43.9583451,+43.9577799,0.0952,0.0899,127.3,15.161,15.290,12.401,8.953,15.646,15.159,15.287,0.036,0.088,,,0.058,0.087,0.168,436143901351027586,0000,0,0nnn,AAUU,-126,276,214,287,0.099,43.9578958008272,3.3840038000492
4.105476,J025623.61+440555.3,44.0984116,+44.0987210,0.0697,0.0675,121.5,14.281,14.122,12.303,8.640,16.426,15.388,15.017,0.030,0.043,0.410,,0.114,0.116,0.134,436143901351046576,Dh00,0,n0nn,AACU,50,166,-419,167,0.165,44.0977011133012,3.7114114942438
2.979572,J025606.95+440147.5,44.0289785,+44.0298724,0.2544,0.2309,118.6,16.479,17.130,12.495,9.075,,,,0.080,0.459,,,,,,436143901351028558,00hD,0,0nnn,ACUU,148,880,981,929,,44.0300893753116,3.7228194876259
2.469769,J025706.72+441643.2,44.2780060,+44.2786811,0.2831,0.2634,119.0,16.692,17.018,12.551,9.078,,,,0.091,0.398,,,,,,436143901351046410,0000,0,nnnn,ACUU,-384,1020,-1209,1065,,44.2789095174221,3.6770601172662
4.322398,J025643.68+441056.6,44.1820086,+44.1824072,0.0992,0.0928,117.8,15.256,15.401,12.385,9.194,16.198,15.420,15.339,0.036,0.100,,,0.092,0.106,0.169,436143901351046221,0000,0,0nnn,AAUU,-333,277,-133,295,0.371,44.1813145614293,3.8309626895755
4.984634,J025639.50+440944.2,44.1646054,+44.1622783,0.1494,0.1396,115.1,15.883,15.739,12.718,8.889,,,,0.053,0.122,,,,,,436143901351045821,0000,0,0nnn,ABUU,593,456,-768,485,,44.1632947821344,3.8430963653155
