angDist,JNAME,ra,dec,errHalfMaj,errHalfMin,errPosAng,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,cntr,cc_flags,ext_flg,var_flg,ph_qual,r_2mass,_RAJ2000,_DEJ2000
0.931102,J030131.69+452254.5,45.382060,+45.381818,0.152,0.145,134,14.268,14.332,12.775,9.167,15.210,14.430,14.202,0.031,0.058,,,0.048,0.040,0.054,447145401241021233,0000,0,00nn,AAUU,0.187,45.3820767931771,3.6568134458997
1.285921,J025550.00+435728.0,43.958367,+43.957784,0.246,0.231,122,15.235,15.545,12.154,9.157,15.646,15.159,15.287,0.044,0.147,,,0.058,0.087,0.168,436143901241021444,0000,0,0nnn,ABUU,0.064,43.9578958008272,3.3840038000492
4.089810,J025623.59+440555.4,44.098317,+44.098747,0.170,0.158,133,14.413,14.105,12.107,8.516,16.426,15.388,15.017,0.035,0.052,0.297,,0.114,0.116,0.134,436143901241035223,hh00,0,11nn,AABU,0.222,44.0977011133012,3.7114114942438
3.099819,J025606.94+440147.3,44.028957,+44.029808,0.746,0.669,115,16.774,16.689,12.183,8.921,,,,0.129,0.405,0.302,0.396,,,,436143901241022036,00hD,0,nnnn,BCBC,,44.0300893753116,3.7228194876259
4.471154,J025643.68+441056.8,44.182031,+44.182445,0.273,0.250,116,15.382,15.527,12.743,9.171,16.198,15.420,15.339,0.047,0.149,0.503,,0.092,0.106,0.169,436143901241035252,0000,0,11nn,ABCU,0.249,44.1813145614293,3.8309626895755
4.749320,J025639.49+440944.4,44.164561,+44.162338,0.488,0.444,111,16.168,15.947,12.728,9.159,,,,0.081,0.228,,,,,,436143901241035561,0000,0,0nnn,ABUU,,44.1632947821344,3.8430963653155
1.912777,J030034.46+450834.1,45.143611,+45.142825,0.069,0.064,34,8.312,8.420,8.308,8.291,9.268,8.589,8.389,0.023,0.020,0.022,0.232,0.021,0.018,0.014,447145401241015012,0000,0,110n,AAAB,0.082,45.1428597413299,3.8134348017518
4.419310,J030115.66+451902.6,45.315263,+45.317391,0.625,0.577,120,16.533,16.180,12.330,9.269,,,,0.104,0.245,,,,,,447145401241022400,0000,0,0nnn,ABUU,,45.316612173891,3.9386606903726
3.427599,J030049.55+451219.5,45.206474,+45.205417,0.914,0.834,124,17.043,16.109,12.218,9.219,,,,0.160,0.253,,,,,,447145401241016230,0000,0,nnnn,BBUU,,45.2063662593332,4.1060826392555
1.662517,J031159.67+475952.2,47.998662,+47.997837,0.308,0.276,109,15.167,15.110,12.295,8.754,15.783,15.238,15.211,0.055,0.114,,,0.068,0.081,0.141,472148401241019441,0000,0,11nn,ABUU,0.506,47.9981356151322,2.5802816659307
3.896498,J031059.09+474452.5,47.746246,+47.747930,0.596,0.537,118,16.428,16.675,12.554,9.362,,,,0.095,0.377,,,,,,472148401241003227,0000,0,0nnn,ACUU,,47.7469599367229,3.0196638062823
2.692011,J031318.34+481936.9,48.326426,+48.326938,0.680,0.619,113,16.700,16.359,12.700,9.163,,,,0.120,0.285,,,,,,472148401241021972,0000,0,2nnn,BBUU,,48.3262046722251,3.2450375603713
