#iRMS=9.222171502e-05 0
lk  ukf_wg0v  uks_wg0v fh        fse	fl
1370.0  2.210000  0.000000  0.000221  0.000000  0.000000
1375.0  1.740000  0.000000  0.000174  0.000000  0.000000
1380.0  2.140000  0.000000  0.000214  0.000000  0.000000
1385.0  2.390000  0.000000  0.000239  0.000000  0.000000
1390.0  2.540000  0.000000  0.000254  0.000000  0.000000
1395.0  3.040000  0.000000  0.000304  0.000000  0.000000
1400.0  2.910000  0.000000  0.000291  0.000000  0.000000
1405.0  2.550000  0.000000  0.000255  0.000000  0.000000
1410.0  2.330000  0.000000  0.000233  0.000000  0.000000
1415.0  2.860000  0.000000  0.000286  0.000000  0.000000
1420.0  2.660000  0.000000  0.000266  0.000000  0.000000
1425.0  2.720000  0.000000  0.000272  0.000000  0.000000
1430.0  3.180000  0.000000  0.000318  0.000000  0.000000
1435.0  3.090000  0.000000  0.000309  0.000000  0.000000
1440.0  2.550000  0.000000  0.000255  0.000000  0.000000
1445.0  2.730000  0.000000  0.000273  0.000000  0.000000
1450.0  3.050000  0.000000  0.000305  0.000000  0.000000
1455.0  3.350000  0.000000  0.000335  0.000000  0.000000
1460.0  3.040000  0.000000  0.000304  0.000000  0.000000
1465.0  3.650000  0.000000  0.000365  0.000000  0.000000
1470.0  4.210000  0.000000  0.000421  0.000000  0.000000
1475.0  4.340000  0.000000  0.000434  0.000000  0.000000
1480.0  4.170000  0.000000  0.000417  0.000000  0.000000
1485.0  4.540000  0.000000  0.000454  0.000000  0.000000
1490.0  4.340000  0.000000  0.000434  0.000000  0.000000
1495.0  4.720000  0.000000  0.000472  0.000000  0.000000
1500.0  4.950000  0.000000  0.000495  0.000000  0.000000
1505.0  4.230000  0.000000  0.000423  0.000000  0.000000
1510.0  3.890000  0.000000  0.000389  0.000000  0.000000
1515.0  4.690000  0.000000  0.000469  0.000000  0.000000
1520.0  5.340000  0.000000  0.000534  0.000000  0.000000
1525.0  6.040000  0.000000  0.000604  0.000000  0.000000
1530.0  6.600000  0.000000  0.000660  0.000000  0.000000
1535.0  5.450000  0.000000  0.000545  0.000000  0.000000
1540.0  5.300000  0.000000  0.000530  0.000000  0.000000
1545.0  6.640000  0.000000  0.000664  0.000000  0.000000
1550.0  7.970000  0.000000  0.000797  0.000000  0.000000
1555.0  7.470000  0.000000  0.000747  0.000000  0.000000
1560.0  6.140000  0.000000  0.000614  0.000000  0.000000
1565.0  5.480000  0.000000  0.000548  0.000000  0.000000
1570.0  6.030000  0.000000  0.000603  0.000000  0.000000
1575.0  6.490000  0.000000  0.000649  0.000000  0.000000
1580.0  5.950000  0.000000  0.000595  0.000000  0.000000
1585.0  5.530000  0.000000  0.000553  0.000000  0.000000
1590.0  5.190000  0.000000  0.000519  0.000000  0.000000
1595.0  5.210000  0.000000  0.000521  0.000000  0.000000
1600.0  5.420000  0.000000  0.000542  0.000000  0.000000
1605.0  5.880000  0.000000  0.000588  0.000000  0.000000
1610.0  6.610000  0.000000  0.000661  0.000000  0.000000
1615.0  7.080000  0.000000  0.000708  0.000000  0.000000
1620.0  6.100000  0.000000  0.000610  0.000000  0.000000
1625.0  6.470000  0.000000  0.000647  0.000000  0.000000
1630.0  7.700000  0.000000  0.000770  0.000000  0.000000
1635.0  8.390000  0.000000  0.000839  0.000000  0.000000
1640.0  7.400000  0.000000  0.000740  0.000000  0.000000
1645.0  7.860000  0.000000  0.000786  0.000000  0.000000
1650.0  8.610000  0.000000  0.000861  0.000000  0.000000
1655.0  9.410000  0.000000  0.000941  0.000000  0.000000
1660.0  9.730000  0.000000  0.000973  0.000000  0.000000
1665.0  8.950000  0.000000  0.000895  0.000000  0.000000
1670.0  8.220000  0.000000  0.000822  0.000000  0.000000
1675.0  9.300000  0.000000  0.000930  0.000000  0.000000
1680.0  9.710000  0.000000  0.000971  0.000000  0.000000
1685.0  8.870000  0.000000  0.000887  0.000000  0.000000
1690.0  9.910000  0.000000  0.000991  0.000000  0.000000
1695.0  0.001179  0.000000  0.001179  0.000000  0.000000
1700.0  0.001272  0.000000  0.001272  0.000000  0.000000
1705.0  0.001308  0.000000  0.001308  0.000000  0.000000
1710.0  0.001278  0.000000  0.001278  0.000000  0.000000
1715.0  0.001373  0.000000  0.001373  0.000000  0.000000
1720.0  0.001470  0.000000  0.001470  0.000000  0.000000
1725.0  0.001524  0.000000  0.001524  0.000000  0.000000
1730.0  0.001529  0.000000  0.001529  0.000000  0.000000
1735.0  0.001534  0.000000  0.001534  0.000000  0.000000
1740.0  0.001627  0.000000  0.001627  0.000000  0.000000
1745.0  0.001820  0.000000  0.001820  0.000000  0.000000
1750.0  0.002036  0.000000  0.002036  0.000000  0.000000
1755.0  0.002186  0.000000  0.002186  0.000000  0.000000
1760.0  0.002329  0.000000  0.002329  0.000000  0.000000
1765.0  0.002442  0.000000  0.002442  0.000000  0.000000
1770.0  0.002660  0.000000  0.002660  0.000000  0.000000
1775.0  0.002935  0.000000  0.002935  0.000000  0.000000
1780.0  0.003124  0.000000  0.003124  0.000000  0.000000
1785.0  0.002752  0.000000  0.002752  0.000000  0.000000
1790.0  0.002108  0.000000  0.002108  0.000000  0.000000
1795.0  0.002832  0.000000  0.002832  0.000000  0.000000
1800.0  0.003188  0.000000  0.003188  0.000000  0.000000
1805.0  0.003270  0.000000  0.003270  0.000000  0.000000
1810.0  0.003611  0.000000  0.003611  0.000000  0.000000
1815.0  0.003972  0.000000  0.003972  0.000000  0.000000
1820.0  0.004299  0.000000  0.004299  0.000000  0.000000
1825.0  0.004372  0.000000  0.004372  0.000000  0.000000
1830.0  0.004219  0.000000  0.004219  0.000000  0.000000
1835.0  0.004278  0.000000  0.004278  0.000000  0.000000
1840.0  0.004020  0.000000  0.004020  0.000000  0.000000
1845.0  0.003688  0.000000  0.003688  0.000000  0.000000
1850.0  0.003715  0.000000  0.003715  0.000000  0.000000
1855.0  0.004222  0.000000  0.004222  0.000000  0.000000
1860.0  0.004520  0.000000  0.004520  0.000000  0.000000
1865.0  0.004887  0.000000  0.004887  0.000000  0.000000
1870.0  0.005335  0.000000  0.005335  0.000000  0.000000
1875.0  0.006344  0.000000  0.006344  0.000000  0.000000
1880.0  0.007690  0.000000  0.007690  0.000000  0.000000
1885.0  0.008139  0.000000  0.008139  0.000000  0.000000
1890.0  0.009272  0.000000  0.009272  0.000000  0.000000
1895.0  0.008011  0.000000  0.008011  0.000000  0.000000
