# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Sep 18 13:39:13 CEST 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 6.00000 0.4027824402 2.1223189831    0.403 -0.341  3.5485  3.530    0  0.000  0.545     0.00     0.00 -1 -1.57e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.622 10.155 8.804 7.529 6.478 5.148 3.867 3.053 2.863
0.0152 0.01508 6.00000 0.4476481974 2.1794912815    0.447 -0.275  3.5599  3.555    0  0.000  0.545     0.00     0.00 -1 -1.68e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.457 9.889 8.462 7.171 6.170 4.938 3.735 2.911 2.734
0.0152 0.01508 6.00000 0.4651119709 2.1997659206    0.465 -0.249  3.5643  3.564    0  0.000  0.545     0.00     0.00 -1 -1.73e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.393 9.784 8.330 7.034 6.050 4.859 3.683 2.859 2.687
0.0152 0.01508 6.00000 0.4939227998 2.2311394215    0.494 -0.209  3.5713  3.578    0  0.000  0.545     0.00     0.00 -1 -1.82e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.293 9.618 8.123 6.820 5.861 4.736 3.602 2.780 2.615
0.0152 0.01508 6.00000 0.5000000000 2.2374541759    0.500 -0.201  3.5727  3.581    0  0.000  0.545     0.00     0.00 -1 -1.83e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.272 9.581 8.079 6.775 5.821 4.710 3.586 2.765 2.601
0.0152 0.01508 6.00000 0.5032261014 2.2407553196    0.503 -0.197  3.5734  3.582    0  0.000  0.545     0.00     0.00 -1 -1.84e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.262 9.563 8.058 6.753 5.801 4.698 3.578 2.757 2.594
0.0152 0.01508 6.00000 0.5193864703 2.2565844059    0.519 -0.174  3.5770  3.588    0  0.000  0.545     0.00     0.00 -1  -1.9e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.205 9.462 7.940 6.633 5.694 4.628 3.532 2.714 2.555
0.0152 0.01508 6.00000 0.5363373756 2.2720143795    0.536 -0.151  3.5810  3.594    0  0.000  0.545     0.00     0.00 -1 -1.96e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.147 9.358 7.819 6.510 5.584 4.558 3.485 2.672 2.516
0.0152 0.01508 6.00000 0.5500000119 2.2836582661    0.550 -0.133  3.5843  3.600    0  0.000  0.545     0.00     0.00 -1    -2e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.103 9.275 7.727 6.419 5.503 4.506 3.449 2.639 2.487
0.0152 0.01508 6.00000 0.5511864424 2.2846381664    0.551 -0.132  3.5845  3.601    0  0.000  0.545     0.00     0.00 -1    -2e-13      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.099 9.269 7.720 6.412 5.497 4.502 3.446 2.637 2.484
