# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Feb  7 15:21:04 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system:  2MASS + Spitzer (IRAC+MIPS) + WISE
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag   IRAC_3.6mag  IRAC_4.5mag  IRAC_5.8mag  IRAC_8.0mag  MIPS_24mag  MIPS_70mag  MIPS_160mag  W1mag   W2mag   W3mag   W4mag
0.05 0.59589 10.00000 0.7628373504 2.4049963951    0.763 -0.662  3.6636  4.589    1  0.000  0.537     0.00     0.00 -1 -1.59e-14      0.00 6.480e-01 3.058e-01 8.192e-03 2.238e-03 2.034e-02 -1.000 4.623e-02 6.425 4.898 4.332 4.228 4.185 4.249 4.222 4.166 3.753 3.892 4.022 4.189 4.255 4.226 3.942
0.05 0.59589 10.00000 0.7903283238 2.4152944088    0.790 -0.579  3.6746  4.565    1  0.000  0.537     0.00     0.00 -1 -1.94e-14      0.00 6.506e-01 3.035e-01 8.136e-03 2.224e-03 2.021e-02 -1.000 4.591e-02 6.217 4.724 4.194 4.096 4.055 4.114 4.091 4.038 3.626 3.765 3.896 4.058 4.120 4.098 3.814
0.05 0.59589 10.00000 0.7976072431 2.4178848267    0.797 -0.557  3.6775  4.559    1  0.000  0.537     0.00     0.00 -1 -2.05e-14      0.00 6.513e-01 3.029e-01 8.122e-03 2.220e-03 2.017e-02 -1.000 4.584e-02 6.162 4.678 4.157 4.061 4.020 4.078 4.056 4.003 3.591 3.731 3.863 4.023 4.084 4.064 3.780
0.05 0.59589 10.00000 0.8151179552 2.4238991737    0.815 -0.503  3.6845  4.542    1  0.000  0.537     0.00     0.00 -1 -2.34e-14      0.00 6.531e-01 3.013e-01 8.083e-03 2.209e-03 2.008e-02 -1.000 4.563e-02 6.027 4.565 4.066 3.973 3.935 3.990 3.969 3.919 3.507 3.648 3.780 3.937 3.995 3.979 3.696
0.05 0.59589 10.00000 0.8377137184 2.4312341213    0.837 -0.433  3.6933  4.519    1  0.000  0.537     0.00     0.00 -1 -2.78e-14      0.00 6.553e-01 2.993e-01 8.035e-03 2.196e-03 1.996e-02 -1.000 4.535e-02 5.853 4.419 3.947 3.859 3.822 3.874 3.854 3.807 3.397 3.538 3.670 3.825 3.879 3.868 3.585
0.05 0.59589 10.00000 0.8452144861 2.4335694313    0.844 -0.410  3.6961  4.512    1  0.000  0.537     0.00     0.00 -1 -2.94e-14      0.00 6.561e-01 2.986e-01 8.019e-03 2.192e-03 1.992e-02 -1.000 4.527e-02 5.796 4.371 3.908 3.821 3.785 3.835 3.816 3.770 3.359 3.501 3.634 3.787 3.840 3.831 3.548
0.05 0.59589 10.00000 0.8565844297 2.4370200634    0.856 -0.375  3.7003  4.498    1  0.000  0.537     0.00     0.00 -1 -3.22e-14      0.00 6.573e-01 2.975e-01 7.992e-03 2.185e-03 1.986e-02 -1.000 4.517e-02 5.707 4.296 3.845 3.761 3.725 3.774 3.756 3.711 3.300 3.442 3.575 3.727 3.778 3.772 3.489
0.05 0.59589 10.00000 0.8800908923 2.4438300133    0.879 -0.302  3.7084  4.469    1  0.000  0.537     0.00     0.00 -1 -3.88e-14      0.00 6.599e-01 2.952e-01 7.938e-03 2.170e-03 1.972e-02 -1.000 4.483e-02 5.524 4.142 3.714 3.634 3.600 3.646 3.629 3.587 3.176 3.318 3.451 3.602 3.650 3.647 3.365
0.05 0.59589 10.00000 0.8928216696 2.4473464489    0.892 -0.262  3.7125  4.453    1  0.000  0.536     0.00     0.00 -1  -4.3e-14      0.00 6.613e-01 2.941e-01 7.910e-03 2.162e-03 1.966e-02 -1.000 4.468e-02 5.426 4.058 3.641 3.563 3.531 3.575 3.559 3.517 3.107 3.249 3.382 3.532 3.579 3.578 3.296
0.05 0.59589 10.00000 0.8977376223 2.4486734867    0.897 -0.247  3.7140  4.446    1  0.000  0.536     0.00     0.00 -1 -4.48e-14      0.00 6.619e-01 2.935e-01 7.897e-03 2.159e-03 1.963e-02 -1.000 4.461e-02 5.387 4.025 3.612 3.535 3.503 3.546 3.531 3.490 3.079 3.222 3.355 3.504 3.550 3.550 3.268
0.05 0.59589 10.00000 0.9097100496 2.4518368244    0.909 -0.210  3.7175  4.428    1  0.000  0.536     0.00     0.00 -1 -4.95e-14      0.00 6.633e-01 2.922e-01 7.868e-03 2.151e-03 1.956e-02 -1.000 4.449e-02 5.294 3.944 3.540 3.465 3.434 3.476 3.461 3.421 3.010 3.153 3.286 3.435 3.480 3.482 3.199
0.05 0.59589 10.00000 0.9210523963 2.4547467232    0.920 -0.175  3.7205  4.410    1  0.000  0.536     0.00     0.00 -1 -5.45e-14      0.00 6.646e-01 2.910e-01 7.841e-03 2.144e-03 1.949e-02 -1.000 4.434e-02 5.206 3.867 3.472 3.398 3.367 3.409 3.394 3.355 2.944 3.087 3.220 3.369 3.413 3.415 3.133
0.05 0.59589 10.00000 0.9319984913 2.4574778080    0.931 -0.141  3.7232  4.393    1  0.000  0.536     0.00     0.00 -1 -5.97e-14      0.00 6.658e-01 2.900e-01 7.817e-03 2.138e-03 1.944e-02 -1.000 4.421e-02 5.123 3.794 3.405 3.333 3.303 3.343 3.329 3.290 2.880 3.023 3.156 3.304 3.347 3.351 3.068
0.05 0.59589 10.00000 0.9404288530 2.4595315456    0.939 -0.115  3.7251  4.378    1  0.000  0.536     0.00     0.00 -1 -6.41e-14      0.00 6.666e-01 2.893e-01 7.801e-03 2.133e-03 1.940e-02 -1.000 4.416e-02 5.058 3.736 3.353 3.281 3.251 3.292 3.278 3.239 2.829 2.972 3.105 3.253 3.296 3.300 3.018
0.05 0.59589 10.00000 0.9426368475 2.4600625038    0.942 -0.109  3.7255  4.375    1  0.000  0.536     0.00     0.00 -1 -6.53e-14      0.00 6.668e-01 2.891e-01 7.796e-03 2.132e-03 1.938e-02 -1.000 4.414e-02 5.041 3.721 3.339 3.267 3.238 3.278 3.264 3.226 2.815 2.958 3.091 3.239 3.282 3.286 3.004
0.05 0.59589 10.00000 0.9518368244 2.4622440338    0.951 -0.079  3.7275  4.357    1  0.000  0.536     0.00     0.00 -1 -7.11e-14      0.00 6.677e-01 2.883e-01 7.780e-03 2.127e-03 1.934e-02 -1.000 4.399e-02 4.967 3.654 3.276 3.206 3.177 3.217 3.203 3.165 2.754 2.898 3.031 3.178 3.220 3.226 2.943
0.05 0.59589 10.00000 0.9657007456 2.4654414654    0.965 -0.031  3.7305  4.328    1  0.000  0.536     0.00     0.00 -1 -8.14e-14      0.00 6.674e-01 2.886e-01 7.786e-03 2.129e-03 1.936e-02 -1.000 4.404e-02 4.848 3.546 3.177 3.108 3.080 3.118 3.105 3.068 2.657 2.801 2.934 3.081 3.122 3.128 2.846
0.05 0.59589 10.00000 0.9694843888 2.4662957191    0.969 -0.018  3.7313  4.320    1  0.000  0.536     0.00     0.00 -1 -8.46e-14      0.00 6.670e-01 2.889e-01 7.793e-03 2.131e-03 1.938e-02 -1.000 4.409e-02 4.816 3.517 3.150 3.081 3.053 3.091 3.078 3.041 2.631 2.774 2.907 3.054 3.095 3.102 2.819
0.05 0.59589 10.00000 0.9777302742 2.4681315422    0.977  0.011  3.7328  4.300    1  0.000  0.536     0.00     0.00 -1 -9.21e-14      0.00 6.660e-01 2.898e-01 7.817e-03 2.138e-03 1.944e-02 -1.000 4.420e-02 4.742 3.449 3.085 3.017 2.990 3.028 3.014 2.978 2.567 2.711 2.844 2.991 3.031 3.039 2.756
0.05 0.59589 10.00000 0.9853337407 2.4697928429    0.984  0.039  3.7338  4.279    1  0.000  0.536     0.00     0.00 -1    -1e-13      0.00 6.650e-01 2.907e-01 7.841e-03 2.144e-03 1.950e-02 -1.000 4.432e-02 4.672 3.383 3.022 2.955 2.927 2.965 2.951 2.915 2.505 2.648 2.781 2.928 2.968 2.976 2.693
0.05 0.59589 10.00000 0.9880360961 2.4703762531    0.987  0.050  3.7341  4.271    1  0.000  0.536     0.00     0.00 -1 -1.03e-13      0.00 6.645e-01 2.911e-01 7.850e-03 2.146e-03 1.952e-02 -1.000 4.438e-02 4.646 3.358 2.998 2.931 2.903 2.941 2.928 2.892 2.481 2.624 2.758 2.904 2.944 2.952 2.670
0.05 0.59589 10.00000 0.9899290204 2.4707827568    0.989  0.057  3.7343  4.265    1  0.000  0.536     0.00     0.00 -1 -1.06e-13      0.00 6.642e-01 2.913e-01 7.856e-03 2.148e-03 1.953e-02 -1.000 4.441e-02 4.628 3.341 2.980 2.914 2.886 2.924 2.911 2.874 2.464 2.607 2.741 2.887 2.927 2.935 2.653
0.05 0.59589 10.00000 0.9946831465 2.4717957973    0.994  0.076  3.7345  4.249    1  0.000  0.536     0.00     0.00 -1 -1.12e-13      0.00 6.630e-01 2.924e-01 7.882e-03 2.155e-03 1.960e-02 -1.000 4.457e-02 4.580 3.294 2.934 2.867 2.839 2.877 2.864 2.828 2.417 2.560 2.694 2.840 2.880 2.888 2.606
0.05 0.59589 10.00000 0.9962174296 2.4721202850    0.995  0.082  3.7345  4.244    1  0.000  0.536     0.00     0.00 -1 -1.14e-13      0.00 6.625e-01 2.929e-01 7.893e-03 2.158e-03 1.963e-02 -1.000 4.463e-02 4.564 3.278 2.918 2.851 2.824 2.861 2.848 2.812 2.401 2.545 2.678 2.825 2.865 2.873 2.590
0.05 0.59589 10.00000 1.0022786856 2.4733912945    1.001  0.105  3.7349  4.225    2  0.000  0.536     0.00     0.00 -1 -1.21e-13      0.00 6.614e-01 2.938e-01 7.917e-03 2.165e-03 1.968e-02 -1.000 4.478e-02 4.506 3.222 2.863 2.796 2.769 2.806 2.793 2.757 2.346 2.489 2.623 2.770 2.810 2.817 2.535
0.05 0.59589 10.00000 1.0105808973 2.4751038551    1.009  0.138  3.7350  4.196    2  0.000  0.536     0.00     0.00 -1 -1.33e-13      0.00 6.593e-01 2.956e-01 7.961e-03 2.177e-03 1.980e-02 -1.000 4.504e-02 4.426 3.141 2.783 2.716 2.688 2.726 2.713 2.676 2.266 2.409 2.542 2.689 2.729 2.737 2.454
0.05 0.59589 10.00000 1.0191290379 2.4768335819    1.018  0.172  3.7346  4.165    2  0.000  0.536     0.00     0.00 -1 -1.47e-13      0.00 6.570e-01 2.977e-01 8.012e-03 2.191e-03 1.992e-02 -1.000 4.530e-02 4.341 3.056 2.696 2.629 2.601 2.639 2.626 2.589 2.178 2.321 2.455 2.602 2.642 2.649 2.367
0.05 0.59589 10.00000 1.0264056921 2.4782798290    1.025  0.201  3.7332  4.133    2  0.000  0.536     0.00     0.00 -1 -1.61e-13      0.00 6.539e-01 3.004e-01 8.079e-03 2.209e-03 2.009e-02 -1.000 4.568e-02 4.268 2.977 2.613 2.546 2.517 2.556 2.542 2.505 2.094 2.237 2.370 2.518 2.559 2.565 2.283
0.05 0.59589 10.00000 1.0341274738 2.4797892570    1.033  0.231  3.7304  4.094    2  0.000  0.536     0.00     0.00 -1 -1.79e-13      0.00 6.498e-01 3.040e-01 8.170e-03 2.234e-03 2.032e-02 -1.000 4.623e-02 4.192 2.890 2.519 2.450 2.420 2.459 2.446 2.407 1.996 2.139 2.273 2.422 2.463 2.468 2.185
0.05 0.59589 10.00000 1.0356432199 2.4800825119    1.034  0.237  3.7295  4.086    2  0.000  0.536     0.00     0.00 -1 -1.82e-13      0.00 6.487e-01 3.049e-01 8.195e-03 2.241e-03 2.038e-02 -1.000 4.638e-02 4.177 2.872 2.499 2.430 2.399 2.439 2.425 2.386 1.975 2.118 2.251 2.401 2.443 2.447 2.164
0.05 0.59589 10.00000 1.0394393206 2.4808125496    1.038  0.252  3.7273  4.063    2  0.000  0.536     0.00     0.00 -1 -1.93e-13      0.00 6.461e-01 3.072e-01 8.254e-03 2.257e-03 2.052e-02 -1.000 4.672e-02 4.139 2.826 2.447 2.377 2.346 2.386 2.372 2.332 1.921 2.064 2.197 2.347 2.390 2.393 2.110
0.05 0.59589 10.00000 1.0447264910 2.4818191528    1.043  0.270  3.7215  4.024    2  0.000  0.536     0.00     0.00 -1 -2.08e-13      0.00 6.413e-01 3.115e-01 8.363e-03 2.286e-03 2.079e-02 -1.000 4.729e-02 4.094 2.760 2.365 2.292 2.259 2.301 2.286 2.245 1.833 1.976 2.108 2.260 2.305 2.305 2.022
0.05 0.59589 10.00000 1.0501942635 2.4828479290    1.049  0.284  3.7108  3.969    2  0.000  0.536     0.00     0.00 -1 -2.26e-13      0.00 6.342e-01 3.177e-01 8.514e-03 2.327e-03 2.116e-02 -1.000 4.810e-02 4.059 2.687 2.263 2.184 2.147 2.192 2.176 2.131 1.719 1.861 1.993 2.149 2.197 2.191 1.908
